Sensor AOD
2020-10-09 10:53:28,0.16298925405939071,0.1671802403017177,0.16967725572605447
2020-10-09 10:56:43,0.16723430112792279,0.17025462084655,0.17290108625609915
2020-10-09 11:00:06,0.16898256896907085,0.1709610610755122,0.1762607785671609
2020-10-09 11:04:23,0.16425075639914835,0.16763266155075904,0.17190531620911953
2020-10-09 11:09:27,0.16025046307606916,0.16371413368858911,0.16810513303448432
2020-10-09 11:15:41,0.15668693492427016,0.16258598819915807,0.16366578639962862
2020-10-09 11:23:32,0.15457846587111235,0.15854927386840248,0.160991329007063
2020-10-09 11:34:42,0.15836347172582968,0.1599922740378437,0.16344637088029307
2020-10-09 11:36:50,0.16093747730889052,0.1616318797681308,0.16467625301222136
2020-10-09 11:38:56,0.1650642832681336,0.16560222202302957,0.16769127496567712
2020-10-09 11:41:28,0.1687498217073498,0.16951767419917335,0.1707500359170823
2020-10-09 11:47:32,0.16627746183209857,0.16924173774883292,0.17066255641422873
2020-10-09 11:57:27,0.17627174453754016,0.17687817339473164,0.17881689287018043
2020-10-09 12:05:02,0.18493547517876874,0.18641222686479395,0.1874533337728959
2020-10-09 12:07:13,0.185824573828677,0.18737546597496846,0.18844511905966713
2020-10-09 12:12:34,0.1821451605222985,0.18404996942734633,0.1862727173983743
2020-10-09 12:24:11,0.1649133758873863,0.1672999719952538,0.1696702091373132
2020-10-09 12:38:45,0.1732215027753133,0.17632616341681737,0.17790939126832483
2020-10-09 13:08:49,0.17517309560747246,0.17669137172418223,0.17922243495045517
2020-10-09 13:19:27,0.17941821454313323,0.18418290648120647,0.18553783972207255
2020-10-09 13:30:45,0.16362178344043915,0.1680179771198286,0.17116638177538226
2020-10-09 13:40:19,0.17364101451652983,0.17845624865933912,0.18660768521376045
2020-10-09 13:47:33,0.20754603826056484,0.2101008851460085,0.21383251238725892
2020-10-09 14:00:42,0.19649514430296738,0.19864958865168808,0.21452526839650204
2020-10-09 14:15:42,0.17933748388880735,0.17962895197327428,0.17977472813722958
2020-10-09 14:30:48,0.17578181793835004,0.17905244819098556,0.1809006581144664
2020-10-09 14:45:44,0.15312153867446543,0.15841834934543841,0.165222856317348
2020-10-09 15:00:50,0.17034855062158008,0.17582544116774132,0.17938718618597124
2020-10-09 15:15:43,0.18270859678015697,0.1930874004332459,0.19909238589310818
2020-10-09 15:30:44,0.163992571948221,0.16826355306186186,0.17203804295856975
2020-10-09 15:45:46,0.18473635557640972,0.18657954454476386,0.19404850368109666
2020-10-09 16:00:44,0.26709379458876753,0.29382603189891454,0.30568441908186883
2020-10-09 16:15:43,0.2796575537603773,0.29235533746646236,0.29937442576925816
2020-10-09 16:30:45,0.18881127252698196,0.19139306124489916,0.19844993551598372
2020-10-09 16:45:44,0.2114581579786505,0.21460951849699544,0.22268426371882177
2020-10-09 17:30:43,0.25559622200909576,0.25704504476858747,0.2648904662657569
2020-10-09 17:45:47,0.19296337995923987,0.20246283813434435,0.21740531384027312
2020-10-09 18:00:42,0.1495307051710482,0.15539565365352873,0.162408016666855
2020-10-09 18:15:42,0.13379039256015335,0.13945960511314928,0.1494403325406282
2020-10-09 18:30:44,0.10696747094626978,0.11006755915029294,0.11977858632144747
2020-10-09 18:45:42,0.11379043910120043,0.1146946343247016,0.11637827507753375
2020-10-09 19:00:42,0.11992719700646222,0.12301693350076075,0.12512113454027576
2020-10-09 19:15:42,0.1126321429595614,0.11591776716457067,0.11950576051626689
2020-10-09 19:30:44,0.10030540189683074,0.10560551970842524,0.10701320493874515
2020-10-09 19:40:45,0.10428807427750716,0.10536507967014985,0.10966054075941799
2020-10-09 19:52:38,0.12163812761723017,0.12296369637046596,0.1248971487279958
2020-10-09 20:22:44,0.10979747467099218,0.11190705420902541,0.11555496773579232
2020-10-09 20:37:15,0.11158416871948507,0.11266155952724576,0.11373272990830369
AERONET AOD
2020-10-09 10:53:28,0.159
2020-10-09 10:56:43,0.16
2020-10-09 11:00:06,0.159
2020-10-09 11:04:23,0.157
2020-10-09 11:09:27,0.151
2020-10-09 11:15:41,0.148
2020-10-09 11:23:32,0.142
2020-10-09 11:34:42,0.145
2020-10-09 11:36:50,0.148
2020-10-09 11:38:56,0.149
2020-10-09 11:41:28,0.148
2020-10-09 11:47:32,0.16
2020-10-09 11:57:27,0.175
2020-10-09 12:05:02,0.18
2020-10-09 12:07:13,0.177
2020-10-09 12:12:34,0.169
2020-10-09 12:24:11,0.162
2020-10-09 12:38:45,0.16
2020-10-09 13:08:49,0.169
2020-10-09 13:19:27,0.176
2020-10-09 13:30:45,0.176
2020-10-09 13:40:19,0.188
2020-10-09 13:47:33,0.192
2020-10-09 14:00:42,0.194
2020-10-09 14:15:42,0.176
2020-10-09 14:30:48,0.188
2020-10-09 14:45:44,0.169
2020-10-09 15:00:50,0.186
2020-10-09 15:15:43,0.195
2020-10-09 15:30:44,0.204
2020-10-09 15:45:46,0.207
2020-10-09 16:00:44,0.25
2020-10-09 16:15:43,0.244
2020-10-09 16:30:45,0.224
2020-10-09 16:45:44,0.229
2020-10-09 17:30:43,0.301
2020-10-09 17:45:47,0.224
2020-10-09 18:00:42,0.19
2020-10-09 18:15:42,0.161
2020-10-09 18:30:44,0.132
2020-10-09 18:45:42,0.138
2020-10-09 19:00:42,0.137
2020-10-09 19:15:42,0.136
2020-10-09 19:30:44,0.122
2020-10-09 19:40:45,0.123
2020-10-09 19:52:38,0.136
2020-10-09 20:22:44,0.123
2020-10-09 20:37:15,0.115
